pais;iso3;anio;valor_en_porcentaje;anioString;colorPais
Reino Unido;GBR;1976;4.759385;1976;#C43E3E
Hungría;HUN;1976;0.16931991;1976;#720034
Indonesia;IDN;1976;1.86724;1976;#720034
India;IND;1976;12.776077;1976;#608584
Irán;IRN;1976;3.0952492;1976;#608584
Italia;ITA;1976;8.264039;1976;#ABBABA
Japón;JPN;1976;8.561666;1976;#ABBABA
Luxemburgo;LUX;1976;0.2848827;1976;#C43E3E
Marruecos;MAR;1976;6.466088;1976;#4B4BB0
México;MEX;1976;8.30845;1976;#4B4BB0
Malasia;MYS;1976;4.1376095;1976;#720034
Países Bajos;NLD;1976;1.5344442;1976;#720034
Nueva Zelanda;NZL;1976;39.66771;1976;#608584
Unión de Repúblicas Socialistas Sovi�ticas (URSS);OWID_USS;1976;4.3382497;1976;#FF7B03
Pakistán;PAK;1976;15.559706;1976;#FF7B03
Perú;PER;1976;18.74816;1976;#FF7B03
Polonia;POL;1976;0.4238295;1976;#006CBA
Rumania;ROU;1976;3.851948;1976;#000000
Arabia Saudita;SAU;1976;0;1976;#000000
Eslovaquia;SVK;1976;3.8035312;1976;#C43E3E
Taiwán (China);TWN;1976;5.838051;1976;#720034
Estados Unidos;USA;1976;7.3539677;1976;#608584
Venezuela;VEN;1976;9.633482;1976;#FF7B03
Sudáfrica;ZAF;1976;0.96040404;1976;#FF7B03
Australia;AUS;1977;5.2697754;1977;#C43E3E
Austria;AUT;1977;25.271303;1977;#4B4BB0
Bélgica;BEL;1977;6.416232;1977;#608584
Bangladesh;BGD;1977;5.079776;1977;#608584
Bulgaria;BGR;1977;9.162012;1977;#FF7B03
Canadá;CAN;1977;28.756395;1977;#006CBA
Suiza;CHE;1977;43.15841;1977;#000000
Argentina;ARG;1977;4.9611993;1977;#FF7B03
Brasil;BRA;1977;30.686188;1977;#006CBA
Chile;CHL;1977;22.105398;1977;#000000
China;CHN;1977;3.2287142;1977;#C43E3E
Mundo;OWID_WRL;1977;8.32979;1977;#ABBABA
Colombia;COL;1977;18.79995;1977;#C43E3E
República Checa;CZE;1977;0.9296591;1977;#4B4BB0
Alemania;DEU;1977;4.31802;1977;#4B4BB0
